title,text,
"Aditya Birla AMC IPO opens today: GMP, other details. Should you subscribe? - Mint",Aditya Birla IPO comprises an offer for sale of up to 28.51 lakh equity shares by Aditya Birla Capital and up to 3.6 crore equity shares by Sun Life AMC,
Gravitas: China's $300 billion debt bomb: Evergrande is missing payments - WION,null,
Gravitas | UK fuel crisis: Army on standby to deliver fuel - WION,null,
Top 10 things to know before the market opens - Moneycontrol.com,Trends on SGX Nifty indicate a negative opening for the index in India with a 107-points loss.,
"Stocks To Watch: Infosys, HCL, Bharti Airtel, HDFC AMC, Lupin, KSE, Atul Auto and More - News18","Indian markets on Wednesday tracking negative global cues may open flat, However PMI Manufacturing, Infrastructure output data that are scheduled to be released this week will decide the course of the market.",
Day trading guide for Wednesday: 7 stocks to buy or sell today — 29th September - Mint,"Day trading guide for Wednesday: Immediate supports to be watched for NSE Nifty are at 17,650 to 17,575 levels, experts believe",
"Suryoday Bank decides to shut down own ATMs, the first domestic lender to do so - Economic Times",The small finance bank is now formulating a strategy where it would offer its customers 5-7 transactions free per month when they use the ATM network of other banks to withdraw cash.,
China’s growing power crunch a ‘serious concern’ for global supply chains: Elon Musk - Moneycontrol.com,"Replying to a tweet posted by social news website Slashdot on China's electricity shortages sparked by scant coal supply, which has crippled large sections of industry, Elon Musk wrote: “This is a serious concern.”",
"Stocks to Watch: Adani Enterprises, CESC, M&M, HDFC AMC, Max Healthcare - Mint","American private equity major KKR is selling a 6.5% stake in Max Healthcare Institute Ltd, worth $300 million or Rs2,220 crore, in a block trade, according to deal terms seen by Mint",
Jaypee Infratech case: NCLT to hear plea on approval of Suraksha’s bid on October 26 - Moneycontrol.com,"After the CoC's approval in June, the Suraksha group's offer had to be cleared by the National Company Law Tribunal.",
Investing in IPOs just for listing gains? Here’s how you can plan your bets carefully - Moneycontrol.com,You need to allocate a certain part of your equity portfolio to a bouquet of five to seven select IPOs,
Myntra expects 5.5 million customers to shop during upcoming Big Fashion Festival - Moneycontrol,"""Myntra is expecting about 5.5 million unique customers during its upcoming Big Fashion Festival, with about 1.8X increase in traffic over the previous edition. This edition of the mega fashion event is expected to see a massive uptick in demand, at 4X over B…",
Morning Scan: All the big stories to get you started for the day - Moneycontrol,A round-up of the biggest articles from newspapers,
Sebi allows launch of silver ETFs by mutual funds in India - Mint,"Experts say that precious metals such as silver, platinum and palladium can be a way to diversify one’s portfolio, away from a single precious metal",
Rating agencies bet on 9% plus GDP growth in FY22 for India as economic activity set to rebound - Moneycontrol.com,S&P Global Ratings have kept their growth forecast for India unchanged at 9.5 percent while ICRA has updated its forecast from the earlier 8.5 percent to 9 percent.,
Gold Price Forecast: XAU/USD attempts a bounce towards $1750 as yields retreat - FXStreet,"Gold is flat in Asia following an intense day of risk-off that started the turn of the European session on Tuesday, whereby US yields rallied taking t",
China September factory activity seen growing slightly: Poll - Moneycontrol,"The official manufacturing Purchasing Manager’s Index (PMI)is expected to stay at 50.1 in September, the same as the August reading, according to the median forecast of 34 economists polled by Reuters. A reading above 50 indicates expansion from the previous …",
Jewellers sell Rs 100 gold online as Indians take to internet buys in Covid - Business Standard,"Jewellers launch offers for festive season, when gold demand peaks in the country.",
"Sebi fines Videocon’s Venugopal Dhoot, two others for insider trading - Times of India","India Business News: Markets regulator Sebi has penalised promoters of Videocon Industries, Venugopal Dhoot and two of his investment companies, with a total fine of Rs 75",
The price we pay for costly crude oil - Mint,"With Goldman Sachs projecting crude oil to reach $90 per barrel by the year-end, energy import-dependent economies are now in a tizzy. Mint looks at the implications for India, which imports 85% of its oil and 53% of its gas requirements.",
"Petrol, diesel prices today: Fuel rates hiked, petrol crosses ₹110 mark in Hyderabad - Mint","Since ending of a three-week-long hiatus in rate revision in the last week of September, this is the 16th increase in petrol price and the 19th time that diesel rates have gone up",
Owner explains why he bought Tata Safari over Mahindra XUV700 - CarToq.com,"Tata launched their seven seater SUV Safari in the market earlier this year. The SUV is named after Tata’s iconic SUV Safari that got discontinued from the market years ago. Tata Safari competes with cars like MG Hector Plus, Hyundai Alcazar and recently laun…",
Self-reliance: Govt aims to make semiconductors in India by mid-2022 - The Financial Express,null,
Explained | What is the extent of India's coal crisis? - The Hindu,null,
"'Risks from Evergrande is controllable,' China breaks silence on crisis | WION English News - WION","Evergrande owes more than 300 billion dollars to its creditors in China and around the world. The China central bank is calling it an 'individual case', igno...",
Tata Power: All charged up - The Hindu BusinessLine - BusinessLine,null,
"Honda reveals its first all-electric SUV with 500km range, plans to launch 10 EVs in next 5 years - Zee News","Honda is all set to launch a slew of electric vehicles in the coming years, as the world moves towards an electric future.",
Fipola launches its first-ever store in Hyderabad - Telangana Today,"Hyderabad: Promising to redefine the meat buying experience in Hyderabad, Fipola has launched in Hyderabad on Saturday.",
Honda Jazz Discontinued In Malaysia - Last Unit Rolls Out Of Plant - RushLane,Honda has officially discontinued Jazz in Malaysia and is expected to be replaced by the new-gen city hatchback.,
Index Outlook: How much steam is left in Sensex and Nifty 50? - BusinessLine,null,
In pics: Reliance Retail forays into ultra-premium grocery segment with 'Freshpik' in Mumbai​ - CNBCTV18,"Reliance Retail, on Thursday, formally launched an experiential gourmet food superstore called Freshpikat its newly opened mall Jio World Drive in Mumbai.",
Tata Motors to launch 10 new long range electric cars to take EV industry by storm - Zee News,Tata Motors appears to be all set to take the nascent electric vehicle industry in India by storm with the launch of at least 10 new electric cars.,
"HDFC Bank Q2 net up 18% to Rs 8,834 cr, steady rise in interest, fee income - Business Standard","Asset quality is largely stable; Total deposits up 14.4% at Rs 14.06 trillion YoY, advances rise 15.5% to Rs nearly Rs 12 trillion",
Asian CBDC projects: What are they doing now? - Cointelegraph,Governments in Asia are cautious about cryptocurrencies but are now edging closer to CBDCs.,
Survey: 14% of Americans Want Crypto Rewards for Using Their Credit Cards – Bitcoin News - Bitcoin News,"A recent study with 1,011 Americans shows that 14% of U.S.-based credit card users want cryptocurrency rewards from their credit cards.",
'Big Short' fame Burry says he's no longer betting against Tesla - Economic Times,"Burry's Scion Asset Management said in a regulatory filing in mid-May it had put options on 800,100 Tesla shares as of the end of the first quarter. Details on the strike price of the puts, their value and whether they were part of a broader trade were not av…",
Aprilia RS660 deliveries start in India. Female racer becomes 1st owner - HT Auto,"Female racer, Alisha Abdullah has become the owner of the very first unit of the Aprilia RS660 in the country.
Aprilia has initiated delivery of the RS660 that will be available for customers across all its Motoplex dealerships across the country.",
Hyundai Creta waiting period increases to 8 months! - Team-BHP,"If you're planning to book a Hyundai Creta this festive season, you might have to wait for up to 8 months for the delivery.  According to an e-mail communication between a Hyundai dealership and a customer, the waiting period for the Creta SX (O) Diesel AT va…",
"Amid rising fuel prices, cars with lower running costs likely to gain higher traction among buyers: Report - Economic Times","Considering the fact that 70% of the passenger vehicles market in India is still accounted for by vehicles costing less than Rs 10 lakh, the development augurs well for market leader Maruti Suzuki India Ltd (MSIL), said the report by HSBC Global Research.",
New-gen KTM RC200 arrives at dealerships in India - HT Auto,"The new-gen RC200 incorporates a range of upgrades when compared to the previous-gen model.
The KTM RC Range Gen-2 features an all-new chassis - a steel trellis frame with bolt-on subframe, lightweight wheels & brakes.",
Bitcoin ATM: Walmart kicks off pilot program allowing shoppers to buy crypto in US stores - Moneycontrol.com,"At present, there are 200 Coinstar kiosks located inside Walmart stores across the United States that will allow customers to buy bitcoin, a Walmart spokesperson said.",
Inox Leisure Q2 loss widens to Rs 88 crore - Moneycontrol.com,"The company posted a net loss of Rs 67.83 crore for July-September period a year ago, Inox Leisure said in a BSE filing.",
Why brokerages see 40% upside in this Ashish Kacholia-owned multibagger stock - CNBCTV18,Gateway Distriparks has given multi-bagger returns to its shareholders this year. The stock started this year at Rs 121 and was trading over Rs 268 higher on Friday in the afternoon deals. It has surged over 180 percent in the past 12 months and 110 percent s…,
China's Evergrande makes payment before deadline | World Business Watch | WION - WION,"Evergrande's last minute effort to avert default, the group has supplied funds to pay interest on a dollar bond, this has happened a day before the deadline....",
"Jhunjhunwalas re-enter Indiabulls Realty, add more of Federal Bank in Q2 - Economic Times","Rakesh Jhunjhunwala owned 50,00,000 shares or 1.1 per cent stake in Indiabulls Real Estate as of September 30.",
Nykaa IPO price band announced. Key things to know in 10 points - Mint,Nykaa IPO comprises a fresh issue of equity shares worth  ₹630 crore and OFS of 4.19 crore shares by promoters and existing shareholders,
"Mercedes-Benz India Launches The Retail Of The Future Sales Programme, New Method Of Selling Vehicles - carandbike","Under ROTF, the brand will directly sell its cars to customers, while its dealerships will deliver the cars while also ensuring servicing and other deliverables.",
Zee Business LIVE | 22nd October 2021 | Business & Financial News | Stock Market | News Updates - Zee Business,"Zee Business LIVE | Business & Financial News | Stock Market | Trading | Business News LiveIn the segment you can watch latest business news, stock market ne...",
Reliance Q2 Earnings: What to Expect? - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",
Lupin ropes in Hrithik Roshan for ayurvedic energy supplement brand - Moneycontrol,The Mumbai-based company has brought in the actor as brand ambassador for LupinLife’s Be One brand.,
Yes Bank Q2 Results: Net Profit Up 74% On Lower Provisions - BloombergQuint,Yes Bank saw its net profit for Q2 rise 74% year-on-year on lower provisions.,
Curefoods acquires a slew of cloud-kitchen brands to step up Thrasio for food play - Moneycontrol.com,The startup has acquired six cloud kitchen brands and is looking at another 25 to expand footprint across multiple cities,
Arbitration panel rejects Future's plea on Reliance deal in dispute with Amazon - Moneycontrol,Amazon has been locked in a tussle with Future and accuses it of breaking contracts when it sold its retail assets to Indian market leader Reliance last year. Future denies any wrongdoing,
"Digital lenders' poor governance standards have shaken trust, RBI 'inundated' with complaints, says deputy... - Moneycontrol","The RBI has been flooded with complaints of harsh recovery methods, fraudulent practices and data privacy issues, M Rajeshwar Rao has said",
EXCLUSIVE details on Royal Enfield Himalayan 650 revealed! - BikeWale,Royal Enfield has been working on a range of brand new motorcycles and the Himalayan 650 is one of them. This bike is potentially the most rumoured bike in Indian two-wheeler industry.,
"Zee-Invesco row: Zee argues holding EGM is illegal, Bombay HC to hear the matter on October 26 - Moneycontrol.com",The counsel appearing for Zee said that Zee believes that holding EGM is illegal.,
Anand Mahindra's Suggestion To Ola CEO Bhavish Aggarwal - NDTV,Ola CEO Bhavish Aggarwal on Thursday stepped out for a cup of coffee at Bengaluru's Araku Cafe - and got the nod of approval from Mahindra Group Chairman Anand Mahindra for his choice.,
"TVS Motor loses production of 25,000 Apache bikes amid chip shortages - Moneycontrol.com","The Apache brand of motorcycles has helped TVS become the leader in not just the 150cc to 200cc segment, but it has become the highest-selling brand in the 125cc to 200cc motorcycle segment as well",
"Petrol and diesel prices hiked for third straight day, hit fresh highs; check fuel rates in your city today - The Indian Express","Petrol and Diesel price today in Delhi, Mumbai, Kolkata, Chennai, Bengaluru, Hyderabad, Jaipur: Petrol price in Delhi stands at Rs 106.89 per litre while diesel is available for Rs 95.62. In Mumbai, petrol is retailing at Rs 112.78, while diesel costs Rs 103.…",
Gold Price Forecast: XAU/USD to push above stiff resistance at $1795 - FXStreet,"On the final trading day of the week, gold bulls have regained poise. In the view of FXStreet’s Dhwani Mehta, XAU/USD eyes a firm break above $1795 am",
Apple takes on Tesla by hiring its former Autopilot software director - The Verge,"According to a report by Bloomberg, Apple has hired away Tesla’s former Autopilot software director. Apple is bringing CJ Moore on board to work on its self-driving software. CJ Moore previously criticized Tesla CEO Elon Musk for making exaggerated full self-…",
Watch this spectacular video that captures the breathtaking visuals of Bengaluru on Diwali night - OpIndia,null,
New Honda Compact SUV Teased Officially - Debut On 11th Nov - RushLane,"All new Honda Compact SUV is set to make its global debut on 11th Nov. It is expected to be a rival to Nexon, Venue, Sonet.",
2021 Bajaj Pulsar 250: Five pros and cons explained - HT Auto,Bajaj Pulsar 250 comes based on a new engine and platform but still manages to carry over the typical Pulsar DNA.,
Divi’s Laboratories Q2 net profit rises 17% to Rs 606 crore - Moneycontrol.com,"The company had posted a net profit of Rs 519.59 crore for the corresponding period of the previous fiscal, Divi’s Laboratories said in a filing to the BSE.",
"“The Metaverse Promises To Be Much More Interoperable” – Mark Zuckerberg On NFTs, DeFi, And Crypto - ZyCrypto",Meta’s Mark Zuckerberg has his eyes fixed on the big picture, a more decentralized and interoperable metaverse that will allow users in the
"Warren Buffett's Berkshire Hathaway boosts operating profit, cash hoard sets record - Mint",That surpasses the previous record of $146.6 billion in cash that Berkshire held at the end of the second quarter of 2020.Berkshire has continued throwing off cash faster than Buffett can put it back to work through deals or buybacks,
MG Astor vs Kia Seltos in a classic drag race: Who will win? - CarToq.com,The mid-size compact SUV segment is quite popular in India market. In the last couple of years several new models have entered in this segment increasing the competition. In 2019 Kia launched Seltos and since then it is having a successful run in the segment.…,
Market gains after 2 weeks of losses. 82 smallcaps gain 10-30% in truncated week - Moneycontrol.com,The broader indices outperformed the main indices with BSE Midcap and Smallcap indices rose 3 percent each in the last week.,
"Primary market update: Three IPOs to hit the Street, two stocks to make a debut next week - Moneycontrol.com","Initial public offerings of three companies - Paytm, Sapphire Foods and Latent View Analytics - will hit the Street raising nearly Rs 21,000 crore in the coming week. Read on to know what experts have to say about these IPOs",
5 new cars launching early next year: Maruti Suzuki Baleno Facelift to 2022 Mahindra Scorpio - CarToq.com,"2021 is almost over and we saw many new car launches this year. Automobile manufacturers have already started working on new launches for the next year. Today we list down 5 such cars that we will be launching early next year. There will be a sedan, a SUV, a …",
‘One should put in efforts and stop fretting over the end results’: Rakesh Jhunjhunwala shares his success mantra with Shraddha Kapoor - OpIndia,null,
"Edtech sector to consolidate in hiring, investments as schools, colleges open: Experts - Moneycontrol","The pandemic has drastically changed the way of teaching and learning, and the funding for ed-tech has remained bullish leading to the adoption of advanced technology, growth in both revenue as well as hiring, CIEL HR Services Director and CEO Aditya Mishra t…",
Here's How To Determine Whether Crypto Investment Is Useful - NDTV Profit,"Despite the risks, cryptocurrency can help you earn much more quickly than most other such tools.",
Check Out This Lovely Royal Enfield Classic 350-Based Cafe Racer - GaadiWaadi.com,"This beautiful cafe racer, built by Delhi-based Neev Motorcycles, is actually a heavily customised Royal Enfield Classic 350",
Is Pfizer CEO Albert Bourla Arrested In Fraud Case Explained - Get India News,"Is Pfizer CEO Albert Bourla Arrested In Fraud Case Explained: It seems like the CEO of Pfizer naming Albert Bourla, has been arrested for fraud in the month of November",
Uday Kotak on the problem with central bank money-printing - Mint,"'It distorts value and values. Like climate change it is the future generation’s problem. We need to solve it not kick the can. Future is here. Future is now,' Uday Kotak said in a tweet",
"Jefferies Group’s Christopher Wood bullish on Indian equities, Bitcoin: Report - Moneycontrol","Christopher Wood also reduced exposure to gold by 5% in his Japanese portfolio in favour of Bitcoin, a move that is being viewed as the cryptocurrency being the better option in hedging against inflation",
"Mukesh Ambani not moving to London or anywhere else, says Reliance after buying James Bond mansion for Rs 600 crore - The Financial Express",null,
Citibank services to be down for 45 minutes on November 8. Here's what you need to know - Moneycontrol,Some banks have shown “preliminary interest” in acquiring Citi’s retail operations as it plans to exit the business in 13 countries.,
Elon Musk asks Twitter if he should sell his Tesla stocks worth USD 21 billion - Here's why - DNA India,Elon Musk asks Twitter if he should sell his Tesla stocks worth USD 21 billion - Here's why - Elon Musk had challenged the UN saying that he would sell his Tesla stocks if they provided him with a good plan that would solve world hunger,
What to do if you put the wrong fuel in your car - Moneycontrol.com,"If you've put petrol in a diesel car, do not turn the key in the ignition; the engine damage can be extensive and expensive. Putting diesel in a petrol car is a relatively smaller - and rarer - problem.",
Maruti Suzuki to hike car prices again? This is what the car maker says - Mint,"In the second quarter, the material cost to net sales ratio had gone up to a very high figure of 80.5 per cent, said MSI",
"India's longest drone flight conducted in Haryana for HPCL, claims robotics firm - Economic Times",The flight took place to survey the pipeline of HPCL that runs between Delhi and Haryana.,
"China Posts Robust Export Growth in October, Beats Estimate - Bloomberg",null,
Supply chain problems crimp profit at Warren Buffett's Berkshire Hathaway; cash sets record - Moneycontrol,"Working revenue fell in need of analyst forecasts, harm by the disruptions in addition to prices related to Hurricane Ida and flooding in Europe, inflicting underwriting losses on the Geico automotive insurer and different insurance coverage companies to grea…",
Polkadot Adds Shell As First Parachain On Its Network - Crypto Daily,"The Polkadot ecosystem is seeing significant expansion, and after considerable anticipation, Polkadot has finally released its first parachain. Polkadot will now begin its parachain auctions, with hundreds of projects in the running for a spot on the blockcha…",
Maruti-Toyota Midsize SUV To Target 5-Star GNCAP Rating - Report - GaadiWaadi.com,The midsize SUV developed by Maruti Suzuki and Toyota will have in-car connectivity based features as well in its top-end variants reportedly,
